description,units,source key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Norway : steam coal,$/short ton,COAL.IMPORT_PRICE.STM-NO-TOT.A,63.5,--,--,--,--,65.5,65.5,--,--,--,--,--
Panama,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
Panama : coke,$/short ton,COAL.IMPORT_PRICE.COK-PA-TOT.A,--,--,--,--,--,--,--,--,--,--,--,--
Paraguay,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
Paraguay : all coal,$/short ton,COAL.IMPORT_PRICE.TOT-PY-TOT.A,--,--,--,212.08,--,--,--,--,--,--,--,--
Paraguay : steam coal,$/short ton,COAL.IMPORT_PRICE.STM-PY-TOT.A,--,--,--,212.08,--,--,--,--,--,--,--,--
Peru,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
Peru : all coal,$/short ton,COAL.IMPORT_PRICE.TOT-PE-TOT.A,--,--,--,--,--,--,--,--,--,--,80.29,--
Peru : steam coal,$/short ton,COAL.IMPORT_PRICE.STM-PE-TOT.A,--,--,--,--,--,--,--,--,--,--,80.29,--
Philippines,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
Philippines : all coal,$/short ton,COAL.IMPORT_PRICE.TOT-PH-TOT.A,--,--,--,326.25,--,--,--,--,--,--,--,--
Philippines : steam coal,$/short ton,COAL.IMPORT_PRICE.STM-PH-TOT.A,--,--,--,326.25,--,--,--,--,--,--,--,--
Philippines : coke,$/short ton,COAL.IMPORT_PRICE.COK-PH-TOT.A,--,--,--,--,--,--,--,--,--,--,--,--
Poland,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
Poland : all coal,$/short ton,COAL.IMPORT_PRICE.TOT-PL-TOT.A,34.76,33.31,--,68.7,44,--,--,--,--,--,163.37,--
Poland : steam coal,$/short ton,COAL.IMPORT_PRICE.STM-PL-TOT.A,34.76,33.31,--,68.7,44,--,--,--,--,--,--,--
Poland : metallurgical,$/short ton,COAL.IMPORT_PRICE.MET-PL-TOT.A,--,--,--,--,--,--,--,--,--,--,163.37,--
Poland : coke,$/short ton,COAL.IMPORT_PRICE.COK-PL-TOT.A,--,102.06,114.45,259.99,247.95,161.51,--,452.31,--,294.17,377.84,--
Russia,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
Russia : all coal,$/short ton,COAL.IMPORT_PRICE.TOT-RU-TOT.A,32.86,38.1,54.06,79.1,54.7,52.79,55.16,207.11,--,--,89.38,174
